ID,Exact_Match_Found,Num_Results
D3-1,True,10
D3-2,False,0
D3-3,False,0
D3-4,False,0
D3-5,False,0
D3-6,False,0
D3-7,True,10
D3-8,False,0
D3-9,False,0
D3-10,False,0
D3-11,False,0
D3-12,True,9
D3-13,False,0
D3-14,False,0
D3-15,True,10
D3-16,True,3
D3-17,False,0
D3-18,True,10
D3-19,True,1
D3-20,False,0
D3-21,False,0
D3-22,True,10
D3-23,False,0
D3-24,False,0
D3-25,False,0
D3-26,True,9
D3-27,True,5
D3-28,False,0
D3-29,False,0
D3-30,True,10
D3-31,False,0
D3-32,False,0
D3-33,True,7
D3-34,False,0
D3-35,False,0
D3-36,True,7
D3-37,False,0
D3-38,True,1
D3-39,True,7
D3-40,False,0
D3-41,True,10
D3-42,True,2
D3-43,False,0
D3-44,True,10
D3-45,False,0
D3-46,False,0
D3-47,False,0
D3-48,False,0
D3-49,True,10
D3-50,False,0
D2-1,False,0
D2-10,False,0
D2-14,True,9
D2-19,False,0
D2-20,True,10
D2-28,False,0
D2-29,True,10
D2-32,True,8
D2-33,True,4
D2-34,False,0
D2-35,False,0
D2-36,False,0
D2-38,True,6
D2-40,True,2
D2-43,True,7
D2-44,False,0
D2-45,True,9
D2-47,False,0
D2-48,False,0
D2-50,False,0
D2-51,False,0
D2-56,False,0
D2-57,True,1
D2-58,False,0
D2-59,False,0
D2-60,False,0
D2-62,False,0
D2-65,True,9
D2-66,False,0
D2-68,True,2
D2-71,False,0
D2-72,False,0
D2-74,False,0
D2-75,True,10
D2-76,True,5
D2-79,False,0
D2-8,True,2
D2-81,False,0
D2-83,False,0
D2-84,False,0
D2-86,False,0
D2-87,False,0
D2-89,False,0
D2-91,False,0
D2-93,True,2
D2-94,False,0
D2-96,True,4
D2-97,True,10
D2-98,True,8
D2-99,False,0
